Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Ronald Bennett,Honduras,27,175,70,M,Athletics,Men's 110m Hurdles,,,,
Balazs Baji,Hungary,23,192,83,M,Athletics,Men's 110m Hurdles,,,,
Daniel Kiss,Hungary,30,196,96,M,Athletics,Men's 110m Hurdles,,,,
Rohollah Asgari,Islamic Republic of Iran,30,187,82,M,Athletics,Men's 110m Hurdles,,,,
Emanuele Abate,Italy,27,190,80,M,Athletics,Men's 110m Hurdles,,,,
Andrew Riley,Jamaica,23,,,M,Athletics,Men's 110m Hurdles,,,,
Hansle Parchment,Jamaica,22,196,90,M,Athletics,Men's 110m Hurdles,YES,,,1
Richard Phillips,Jamaica,29,192,84,M,Athletics,Men's 110m Hurdles,,,,
Fawaz Al-Shammari,Kuwait,35,,,M,Athletics,Men's 110m Hurdles,,,,
Ahmad Hazer,Lebanon,22,188,80,M,Athletics,Men's 110m Hurdles,,,,
Kame Ali,Madagascar,27,190,83,M,Athletics,Men's 110m Hurdles,,,,
Gregory Sedoc,Netherlands,30,179,75,M,Athletics,Men's 110m Hurdles,,,,
Selim Nurudeen,Nigeria,29,190,77,M,Athletics,Men's 110m Hurdles,,,,
Dongpeng Shi,People's Republic of China,30,192,85,M,Athletics,Men's 110m Hurdles,,,,
Wenjun Xie,People's Republic of China,22,190,85,M,Athletics,Men's 110m Hurdles,,,,
Xiang Liu,People's Republic of China,29,190,86,M,Athletics,Men's 110m Hurdles,,,,
Artur Noga,Poland,24,196,92,M,Athletics,Men's 110m Hurdles,,,,
Joao Carlos Almeida,Portugal,24,185,88,M,Athletics,Men's 110m Hurdles,,,,
Enrique Llanos,Puerto Rico,32,,,M,Athletics,Men's 110m Hurdles,,,,
Hector Cotto,Puerto Rico,27,191,86,M,Athletics,Men's 110m Hurdles,,,,
Aleksey Dremin,Russian Federation,23,186,80,M,Athletics,Men's 110m Hurdles,,,,
Konstantin Shabanov,Russian Federation,22,184,75,M,Athletics,Men's 110m Hurdles,,,,
Sergey Shubenkov,Russian Federation,21,190,75,M,Athletics,Men's 110m Hurdles,,,,
Ahmad Kh A Al-Molad,Saudi Arabia,24,,,M,Athletics,Men's 110m Hurdles,,,,
Moussa Dembele,Senegal,23,182,78,M,Athletics,Men's 110m Hurdles,,,,
Lehann Fourie,South Africa,25,196,98,M,Athletics,Men's 110m Hurdles,,,,
Jackson Quinonez,Spain,32,190,89,M,Athletics,Men's 110m Hurdles,,,,
Mikel Thomas,Trinidad and Tobago,24,166,79,M,Athletics,Men's 110m Hurdles,,,,
Wayne Davis,Trinidad and Tobago,20,171,70,M,Athletics,Men's 110m Hurdles,,,,
Aries Merritt,United States of America,27,188,77,M,Athletics,Men's 110m Hurdles,YES,1,,
Jason Richardson,United States of America,26,188,77,M,Athletics,Men's 110m Hurdles,YES,,1,
Jeff Porter,United States of America,26,183,84,M,Athletics,Men's 110m Hurdles,,,,
Ryan Gregson,Australia,22,184,73,M,Athletics,Men's 1500m,,,,
Andreas Vojta,Austria,23,189,77,M,Athletics,Men's 1500m,,,,
Nathan Brannen,Canada,29,174,58,M,Athletics,Men's 1500m,,,,
Teklit Teweldebrhan,Eritrea,18,172,65,M,Athletics,Men's 1500m,,,,
Dawit Wolde,Ethiopia,21,174,63,M,Athletics,Men's 1500m,,,,
Mekonnen Gebremedhin,Ethiopia,23,182,62,M,Athletics,Men's 1500m,,,,
Niclas Sandells,Finland,28,185,72,M,Athletics,Men's 1500m,,,,
Florian Carvalho,France,23,183,70,M,Athletics,Men's 1500m,,,,
Jamale Aarrass,France,30,187,76,M,Athletics,Men's 1500m,,,,
Yoann Kowal,France,25,172,68,M,Athletics,Men's 1500m,,,,
Carsten Schlangen,Germany,31,190,67,M,Athletics,Men's 1500m,,,,
Andrew Baddeley,Great Britain,30,188,69,M,Athletics,Men's 1500m,,,,
Ross Murray,Great Britain,21,,,M,Athletics,Men's 1500m,,,,
Mamadou Barry,Guinea,20,178,66,M,Athletics,Men's 1500m,,,,
Ciaran O'Lionaird,Ireland,24,,,M,Athletics,Men's 1500m,,,,
Asbel Kiprop,Kenya,23,190,62,M,Athletics,Men's 1500m,,,,
Nixon Kiplimo Chepseba,Kenya,21,185,66,M,Athletics,Men's 1500m,,,,
Silas Kiplagat,Kenya,22,170,56,M,Athletics,Men's 1500m,,,,
Dmitrijs Jurkevics,Latvia,25,186,69,M,Athletics,Men's 1500m,,,,
Amine Laalou,Morocco,30,181,65,M,Athletics,Men's 1500m,,,,
Mohamed Moustaoui,Morocco,27,174,60,M,Athletics,Men's 1500m,,,,
Nicholas Willis,New Zealand,29,183,68,M,Athletics,Men's 1500m,,,,
Rabiou Guero Gao,Niger,24,170,58,M,Athletics,Men's 1500m,,,,
Henrik Ingebrigtsen,Norway,21,,,M,Athletics,Men's 1500m,,,,
Hamza Driouch,Qatar,17,178,61,M,Athletics,Men's 1500m,,,,
Mohamad Al-Garni,Qatar,20,170,55,M,Athletics,Men's 1500m,,,,
Egor Nikolaev,Russian Federation,24,176,60,M,Athletics,Men's 1500m,,,,
Emad Noor,Saudi Arabia,22,,,M,Athletics,Men's 1500m,,,,
Mohamed Mohamed,Somalia,18,,,M,Athletics,Men's 1500m,,,,
Alvaro Rodriguez,Spain,25,179,68,M,Athletics,Men's 1500m,,,,
David Bustos,Spain,21,181,65,M,Athletics,Men's 1500m,,,,
Diego Ruiz,Spain,30,178,64,M,Athletics,Men's 1500m,,,,
Andrew Wheating,United States of America,24,198,82,M,Athletics,Men's 1500m,,,,
Leonel Manzano,United States of America,27,165,57,M,Athletics,Men's 1500m,YES,,1,
Matthew Centrowitz,United States of America,22,175,60,M,Athletics,Men's 1500m,,,,
Eduar Villanueva,Venezuela,27,172,65,M,Athletics,Men's 1500m,,,,
Nabil Mohammed Al-Garbi,Yemen,18,175,65,M,Athletics,Men's 1500m,,,,
Abdalaati Iguider,Morocco,25,173,57,M,Athletics,"Men's 1500m, Men's 5000m",YES,,,1
Brendan Christian,Antigua and Barbuda,28,178,70,M,Athletics,Men's 200m,,,,
Michael Mathieu,Bahamas,28,178,77,M,Athletics,Men's 200m,,,,
Trevorvano Mackey,Bahamas,20,,,M,Athletics,Men's 200m,,,,
Aaron Brown,Canada,20,198,79,M,Athletics,Men's 200m,,,,
Jared Connaughton,Canada,27,175,79,M,Athletics,Men's 200m,,,,
Tremaine Harris,Canada,20,181,81,M,Athletics,Men's 200m,,,,
Michael Herrera,Cuba,27,,,M,Athletics,Men's 200m,,,,
Roberto Skyers,Cuba,20,,,M,Athletics,Men's 200m,,,,
Carlos Jorge,Dominican Republic,26,185,80,M,Athletics,Men's 200m,,,,
Alex Quinonez,Ecuador,22,176,65,M,Athletics,Men's 200m,,,,
Jonathan Astrand,Finland,26,179,68,M,Athletics,Men's 200m,,,,
Christian Malcolm,Great Britain,33,178,71,M,Athletics,Men's 200m,,,,
